Corner Canyon 1st Ward -> Younger - South Mountain | Older -> Willow Springs
Dimple Dell Park Ward -> Younger - Lone Peak | Older - Willow Creek
Lone Hollow Ward -> Younger - Lone Peak | Older - Willow Creek
Northridge Ward -> Younger - Lone Peak | Older - Willow Creek
Wanderwood Ward -> Younger - Lone Peak | Older - Willow Creek
Bell Canyon Ward -> Younger - Lone Peak | Older - Willow Creek
Glacial Park Ward -> Younger - Lone Peak | Older - Willow Creek
Granite Ward -> Younger - Lone Peak | Older - Willow Creek
Granite Ridge Ward -> Younger - Lone Peak | Older - Willow Creek
Granite View Ward -> Younger - Lone Peak | Older - Willow Creek
Little Cottonwood Ward -> Younger - Lone Peak | Older - Willow Creek
Hegessy Ward -> Younger - Lone Peak | Older - Willow Creek
Legacy Park Ward -> Younger - Lone Peak | Older - Willow Creek
Meadowlark Ward -> Younger - Lone Peak | Older - Willow Creek
Newcastle Ward -> Younger - Lone Peak | Older - Willow Creek
Quail Hollow Ward -> Younger - Lone Peak | Older - Willow Creek
Willow Hills Ward -> Younger - Lone Peak | Older - Willow Creek
Willow Creek 1st Ward -> Younger - Lone Peak | Older - Willow Creek
Willow Creek 2nd Ward -> Younger - Lone Peak | Older - Willow Creek
Willow Creek 3rd Ward -> Younger - Lone Peak | Older - Willow Creek
Willow Creek 4th Ward -> Younger - Lone Peak | Older - Willow Creek
Willow Creek 6th Ward -> Younger - Lone Peak | Older - Willow Creek
Willow Creek 7th Ward -> Younger - Lone Peak | Older - Willow Creek
Willow Creek 9th Ward -> Younger - Lone Peak | Older - Willow Creek
Lone Peak 1st Ward -> Younger - Lone Peak | Older - Willow Creek
Lone Peak 2nd Ward -> Younger - Lone Peak | Older - Willow Creek
Lone Peak 3rd Ward -> Younger - Lone Peak | Older - Willow Creek
Lone Peak 4th Ward -> Younger - Lone Peak | Older - Willow Creek
Lone Peak 5th Ward -> Younger - Lone Peak | Older - Willow Creek
Albion Ward -> Younger - Lone Peak | Older - Willow Creek
Indian Ridge Ward -> Younger - Lone Peak | Older - Willow Creek
Aspen Hills Ward -> Younger - Lone Peak | Older - Willow Creek
Highland Ward -> Younger - Lone Peak | Older - Willow Creek
